Vardas                   Pavarde                  ND1       ND2       ND3       ND4       ND5       Egz.      
Vardas1                  Pavarde1                 6         1         9         3         1         5         
Vardas2                  Pavarde2                 8         5         3         4         8         5         
Vardas3                  Pavarde3                 7         1         10        2         10        10        
Vardas4                  Pavarde4                 3         3         7         2         10        8         
Vardas5                  Pavarde5                 6         9         6         7         3         1         
Vardas6                  Pavarde6                 3         9         4         10        5         7         
Vardas7                  Pavarde7                 8         4         6         3         4         2         
Vardas8                  Pavarde8                 3         8         8         9         5         6         
Vardas9                  Pavarde9                 4         5         10        6         4         10        
Vardas10                 Pavarde10                8         8         5         1         2         9         
Vardas11                 Pavarde11                8         9         8         7         10        1         
Vardas12                 Pavarde12                1         2         5         2         4         4         
Vardas13                 Pavarde13                10        3         9         7         10        6         
Vardas14                 Pavarde14                10        5         9         2         1         5         
Vardas15                 Pavarde15                8         4         6         10        1         6         
Vardas16                 Pavarde16                5         5         9         4         9         4         
Vardas17                 Pavarde17                6         6         6         5         3         5         
Vardas18                 Pavarde18                5         1         4         10        5         5         
Vardas19                 Pavarde19                9         6         6         3         4         3         
Vardas20                 Pavarde20                10        1         7         7         6         9         
Vardas21                 Pavarde21                8         8         9         2         6         3         
Vardas22                 Pavarde22                2         3         2         7         2         8         
Vardas23                 Pavarde23                10        1         4         7         10        8         
Vardas24                 Pavarde24                2         8         8         3         4         6         
Vardas25                 Pavarde25                9         8         8         6         5         6         
Vardas26                 Pavarde26                9         3         2         5         7         5         
Vardas27                 Pavarde27                6         5         2         8         6         8         
Vardas28                 Pavarde28                9         10        4         8         5         3         
Vardas29                 Pavarde29                8         10        3         8         3         7         
Vardas30                 Pavarde30                10        5         2         7         7         10        
Vardas31                 Pavarde31                5         6         1         6         2         5         
Vardas32                 Pavarde32                3         5         4         2         8         10        
Vardas33                 Pavarde33                10        10        5         3         9         3         
Vardas34                 Pavarde34                2         9         9         4         8         4         
Vardas35                 Pavarde35                2         3         6         2         2         9         
Vardas36                 Pavarde36                5         4         7         4         8         8         
Vardas37                 Pavarde37                7         5         8         3         6         6         
Vardas38                 Pavarde38                8         2         10        2         7         8         
Vardas39                 Pavarde39                8         7         10        5         3         9         
Vardas40                 Pavarde40                9         9         6         5         10        9         
Vardas41                 Pavarde41                6         9         2         8         1         6         
Vardas42                 Pavarde42                4         3         3         5         6         1         
Vardas43                 Pavarde43                8         8         4         2         10        10        
Vardas44                 Pavarde44                8         1         6         9         4         5         
Vardas45                 Pavarde45                2         4         9         4         2         7         
Vardas46                 Pavarde46                5         1         10        6         8         8         
Vardas47                 Pavarde47                6         3         2         9         1         9         
Vardas48                 Pavarde48                4         9         2         6         5         10        
Vardas49                 Pavarde49                9         2         9         1         4         7         
Vardas50                 Pavarde50                7         6         7         2         2         9         
Vardas51                 Pavarde51                10        10        9         4         7         10        
Vardas52                 Pavarde52                7         10        3         8         2         4         
Vardas53                 Pavarde53                2         8         3         4         7         10        
Vardas54                 Pavarde54                9         3         3         4         1         6         
Vardas55                 Pavarde55                1         6         4         1         2         2         
Vardas56                 Pavarde56                8         9         2         8         8         1         
Vardas57                 Pavarde57                4         2         8         2         10        1         
Vardas58                 Pavarde58                4         7         6         9         1         6         
